# Format: Title,GENRE,Seasons,Year,Rating,Director,Actor1;Actor2;...

Breaking Bad,CRIME,5,2008,9.5,Vince Gilligan,Bryan Cranston;Aaron Paul;Anna Gunn
Better Call Saul,CRIME,6,2015,8.9,Vince Gilligan;Peter Gould,Bob Odenkirk;Rhea Seehorn
Succession,DRAMA,4,2018,8.8,Jesse Armstrong,Brian Cox;Jeremy Strong;Sarah Snook
The Wire,CRIME,5,2002,9.3,David Simon,Dominic West;Lance Reddick;Idris Elba
Chernobyl,DRAMA,1,2019,9.4,Craig Mazin,Jared Harris;Stellan Skarsgård;Emily Watson
The Sopranos,CRIME,6,1999,9.2,David Chase,James Gandolfini;Lorraine Bracco;Edie Falco
The Office,COMEDY,9,2005,8.9,Greg Daniels;Ricky Gervais,Steve Carell;John Krasinski;Mindy Kaling
Fleabag,COMEDY,2,2016,8.7,Phoebe Waller-Bridge,Phoebe Waller-Bridge;Sian Clifford
Atlanta,COMEDY,4,2016,8.6,Donald Glover,Donald Glover;Brian Tyree Henry;LaKeith Stanfield
Barry,COMEDY,4,2018,8.4,Alec Berg;Bill Hader,Bill Hader;Henry Winkler;Stephen Root
The Bear,COMEDY,2,2022,8.4,Christopher Storer,Jeremy Allen White;Ayo Edebiri;Ebon Moss-Bachrach
Severance,SCI_FI,1,2022,8.7,Dan Erickson,Adam Scott;Britt Lower;Tramell Tillman
The White Lotus,DRAMA,2,2021,8.0,Mike White,Jennifer Coolidge;Aubrey Plaza;Murray Bartlett
Beef,COMEDY,1,2023,8.1,Lee Sung Jin,Steven Yeun;Ali Wong;Joseph Lee
Pachinko,DRAMA,1,2022,8.8,Soo Hugh,Lee Min-ho;Yuh-jung Youn;Minha Kim
Squid Game,THRILLER,1,2021,8.0,Hwang Dong-hyuk,Lee Jung-jae;Jung Ho-yeon;Wi Ha-joon
Money Heist,THRILLER,5,2017,8.2,Álex Pina,Úrsula Corberó;Álvaro Morte;Itziar Ituño
Dark,SCI_FI,3,2017,8.8,Baran bo Odar;Jantje Friese,Louis Hofmann;Lisa Vicari;Oliver Masucci
The Queen's Gambit,DRAMA,1,2020,8.6,Scott Frank,Anya Taylor-Joy;Thomas Brodie-Sangster;Moses Ingram
I May Destroy You,DRAMA,1,2020,8.1,Michaela Coel,Michaela Coel;Weruche Opia;Paapa Essiedu
Mare of Easttown,CRIME,1,2021,8.5,Brad Ingelsby,Kate Winslet;Evan Peters;Julianne Nicholson
The Last of Us,DRAMA,1,2023,8.7,Craig Mazin;Neil Druckmann,Pedro Pascal;Bella Ramsey;Nick Offerman
House of the Dragon,FANTASY,1,2022,8.5,Ryan Condal;George R.R. Miller,Matt Smith;Emma D'Arcy;Olivia Cooke
Andor,SCI_FI,1,2022,8.4,Tony Gilroy,Diego Luna;Genevieve O'Reilly;Stellan Skarsgård
The Crown,DRAMA,5,2016,8.7,Peter Morgan,Olivia Colman;Claire Foy;Matt Smith
Game of Thrones,FANTASY,8,2011,9.3,David Benioff;D.B. Weiss,Emilia Clarke;Kit Harington
Stranger Things,SCI_FI,4,2016,8.7,Matt Duffer;Ross Duffer,Millie Bobby Brown;Finn Wolfhard
The Crown,DRAMA,5,2016,8.7,Peter Morgan,Olivia Colman;Claire Foy
The Mandalorian,SCI_FI,3,2019,8.7,Jon Favreau,Pedro Pascal;Gina Carano
The Witcher,FANTASY,2,2019,8.2,Lauren Schmidt Hissrich,Henry Cavill;Anya Chalotra
Squid Game,THRILLER,1,2021,8.0,Hwang Dong-hyuk,Lee Jung-jae;Jung Ho-yeon
Yellowstone,DRAMA,5,2018,8.7,Taylor Sheridan,Kevin Costner;Luke Grimes
The Bear,COMEDY,2,2022,8.4,Christopher Storer,Jeremy Allen White;Ebon Moss-Bachrach
Wednesday,COMEDY,1,2022,8.2,Alfred Gough;Miles Millar,Jenna Ortega;Gwendoline Christie
The Boys,ACTION,4,2019,8.7,Eric Kripke,Karl Urban;Jack Quaid
Euphoria,DRAMA,2,2019,8.4,Sam Levinson,Zendaya;Hunter Schafer
Lost,SCI_FI,6,2004,8.3,J.J. Abrams;Damon Lindelof,Matthew Fox;Jorge Garcia
The Last of Us,DRAMA,1,2023,8.7,Craig Mazin;Neil Druckmann,Pedro Pascal;Bella Ramsey
House of the Dragon,FANTASY,1,2022,8.5,Ryan Condal;George R.R. Miller,Matt Smith;Emma D'Arcy
The Bear,COMEDY,2,2022,8.4,Christopher Storer,Jeremy Allen White;Ayo Edebiri
Beef,COMEDY,1,2023,8.1,Lee Sung Jin,Steven Yeun;Ali Wong
The White Lotus,DRAMA,2,2021,8.0,Mike White,Jennifer Coolidge;Aubrey Plaza
Severance,SCI_FI,1,2022,8.7,Dan Erickson,Adam Scott;Britt Lower
Succession,DRAMA,4,2018,8.8,Jesse Armstrong,Brian Cox;Jeremy Strong
Better Call Saul,CRIME,6,2015,8.9,Vince Gilligan;Peter Gould,Bob Odenkirk;Rhea Seehorn
The Queen's Gambit,DRAMA,1,2020,8.6,Scott Frank,Anya Taylor-Joy;Thomas Brodie-Sangster
