# id,username,email,password,fullName,role

1,admin,admin@imdbclone.com,admin123,Admin User,ADMIN
2,johndoe,john.doe@example.com,password123,John Doe,USER
3,janesmith,jane.smith@email.com,password123,Jane Smith,USER
4,mike_johnson,mikej@example.com,password123,Mike Johnson,USER
5,sarahmiller,sarah.m@example.com,password123,Sarah Miller,USER
6,davidwilson,dwilson@email.com,password123,David Wilson,USER
7,emilybrown,emily.b@example.com,password123,Emily Brown,USER
8,alexjohnson,alex.j@example.com,password123,Alex Johnson,USER
9,mariagarcia,mgarcia@email.com,password123,Maria Garcia,USER
10,robertlee,rlee@example.com,password123,Robert Lee,USER



